preco;quartos;suites;vagas;area;bairro;tipo;cidade
670000;2;0;1;223;Carneiros;Casa;lajeado
340000;2;1;1;90;Universitario;Apartamento;lajeado
276943;2;1;0;60;Sao Cristovao;Apartamento;lajeado
425000;3;1;2;181;Universitario;Casa;lajeado
350000;;0;0;802;Campestre;Terreno;lajeado
518128;3;1;2;166;Universitario;Casa;lajeado
424000;4;0;1;140;Centro;Apartamento;lajeado
115000;1;0;0;61;Moinhos;Apartamento;lajeado
200265;1;0;1;90;Sao Cristovao;Apartamento;lajeado
219800;2;1;0;85;Sao Cristovao;Apartamento;lajeado
780000;3;3;4;220;Verdes Vales;Casa;lajeado
200000;;0;0;59;Centro;Conjunto;lajeado
68900;;0;0;377;Conventos;Terreno;lajeado
340000;3;1;1;143;Jardim do Cedro;Casa;lajeado
84800;;0;0;364;Conventos;Terreno;lajeado
240000;3;0;1;101;Conventos;Casa;lajeado
212000;2;0;0;61;Conventos;Casa;lajeado
1035808;3;3;0;185;Americano;Apartamento;lajeado
330000;3;1;2;130;Verdes Vales;Casa;lajeado
79500;;0;0;360;Olarias;Terreno;lajeado
365000;3;1;2;160;Universitario;Casa;lajeado
275000;2;0;1;85;Universitario;Apartamento;lajeado
580000;3;1;1;202;Verdes Vales;Casa;lajeado
205000;2;0;1;80;Moinhos D'agua;Casa;lajeado
185500;2;0;1;76;Universitario;Apartamento;lajeado
185950;;0;0;375;Universitario;Terreno;lajeado
689000;3;1;2;227;Sao Cristovao;Casa;lajeado
150000;2;0;1;49;Universitario;Apartamento;lajeado
140000;2;0;1;62;Sao Bento;Casa;lajeado
587000;3;1;4;189;Carneiros;Casa;lajeado
689000;5;1;0;280;Floresta;Casa;lajeado
430000;;0;0;330;Floresta;Terreno;lajeado
848000;;0;0;6264;Conventos;Galpao/Deposito/Armazem;lajeado
212000;3;0;1;127;Floresta;Apartamento;lajeado
212000;3;1;1;103;Moinhos;Apartamento;lajeado
230000;2;1;1;78;Centro;Apartamento;lajeado
260000;2;0;1;70;Sao Cristovao;Casa;lajeado
170000;3;0;0;83;Floresta;Apartamento;lajeado
906400;3;1;2;208;Verdes Vales;Casa;lajeado
1431000;4;1;4;500;Alto do Parque;Casa;lajeado
480000;3;1;2;264;Floresta;Casa;lajeado
159000;;0;0;429;Carneiros;Terreno;lajeado
385000;3;1;2;128;Verdes Vales;Casa;lajeado
134620;2;0;1;62;Sao Bento;Casa;lajeado
127200;2;0;1;64;Centro;Casa;lajeado
169000;2;0;2;72;Moinhos D'agua;Casa;lajeado
580000;3;1;1;202;Verdes Vales;Casa;lajeado
129000;;0;0;49;Centro;Conjunto;lajeado
159000;3;0;0;90;Floresta;Apartamento;lajeado
199823;2;1;0;57;Montanha;Apartamento;lajeado
422601;3;1;1;86;Sao Cristovao;Apartamento;lajeado
203815;2;1;0;56;Montanha;Apartamento;lajeado
141812;1;0;0;38;Sao Cristovao;Apartamento;lajeado
680000;3;1;2;215;Verdes Vales;Casa;lajeado
230000;;0;0;375;Universitario;Terreno;lajeado
230000;3;0;0;154;Olarias;Casa;lajeado
139000;;0;0;476;Centro;Terreno;lajeado
530000;3;0;2;168;Alto do Parque;Casa;lajeado
349800;;0;0;47;Floresta;Conjunto;lajeado
350000;3;1;1;100;Americano;Apartamento;lajeado
980000;3;1;3;330;Alto do Parque;Casa;lajeado
127200;;0;0;450;Conventos;Terreno;lajeado
132500;2;0;0;55;Conventos;Casa;lajeado
212000;;0;0;466;Conventos;Terreno;lajeado
159000;;0;1;40;Universitario;Quitinete;lajeado
265000;;0;0;363;Alto do Parque;Terreno;lajeado
455000;3;1;2;149;Verdes Vales;Casa;lajeado
381600;;0;0;420;Alto do Parque;Terreno;lajeado
413400;;0;0;450;Alto do Parque;Terreno;lajeado
948000;3;3;0;199;Centro;Apartamento;lajeado
250000;3;0;1;120;Conventos;Casa;lajeado
4585560;;0;0;23265;Montanha;Terreno;lajeado
280000;2;2;1;104;Moinhos;Casa;lajeado
400000;3;1;2;160;Moinhos D'agua;Casa;lajeado
190000;2;0;1;73;Moinhos D'agua;Apartamento;lajeado
300000;;0;0;313;Hidraulica;Terreno;lajeado
162042;2;0;1;56;Moinhos;Apartamento;lajeado
404993;3;1;1;91;Sao Cristovao;Apartamento;lajeado
243162;2;2;0;68;Montanha;Apartamento;lajeado
393330;2;2;1;157;Montanha;Apartamento;lajeado
360400;3;0;0;105;Verdes Vales;Casa;lajeado
90000;;0;0;360;Conventos;Terreno;lajeado
371000;3;0;2;142;Verdes Vales;Casa;lajeado
1007000;2;2;2;250;Americano;Apartamento;lajeado
1060000;3;3;0;281;Alto do Parque;Casa;lajeado
132500;2;0;0;55;Conventos;Casa;lajeado
190000;2;0;1;91;Centenario;Casa;lajeado
142000;2;0;0;60;Centro;Apartamento;lajeado
170000;2;0;1;65;Floresta;Apartamento;lajeado
318000;;0;0;467;Conventos;Terreno;lajeado
8800000;;0;0;726;Centro;Terreno;lajeado
275060;2;0;1;120;Conventos;Casa;lajeado
350000;;0;0;802;Centro;Terreno;lajeado
